iter	Passed	Remaining
215	283	1028
216	284	1025
217	284	1021
218	285	1018
219	286	1014
220	286	1011
221	287	1007
222	288	1003
223	288	1000
224	289	997
225	290	993
226	290	990
227	291	987
228	292	983
229	292	980
230	293	977
231	294	973
232	294	970
233	295	966
234	296	963
235	296	960
236	297	957
237	298	954
238	298	951
239	299	947
240	299	944
241	300	941
242	301	938
243	301	935
244	302	932
245	303	929
246	303	926
247	304	922
248	304	919
249	305	916
250	306	913
251	306	910
252	307	907
253	308	905
254	308	902
255	309	899
256	310	896
257	310	893
258	311	890
259	311	887
260	312	885
261	313	882
262	313	879
263	314	876
264	315	874
265	315	871
266	316	868
267	317	866
268	317	863
269	318	860
270	318	858
271	319	855
272	320	852
273	320	850
274	321	847
275	322	845
276	322	842
277	323	840
278	324	837
279	324	835
280	325	832
281	326	830
282	326	827
283	327	825
284	327	822
285	328	820
286	329	818
287	329	815
288	330	813
289	331	811
290	331	808
291	332	806
292	333	804
293	333	801
294	334	799
295	335	797
296	335	794
297	336	792
298	337	790
299	337	787
300	338	785
301	339	783
302	339	781
303	340	779
304	341	777
305	341	775
306	342	772
307	342	770
308	343	768
309	344	766
310	344	764
311	345	762
312	346	760
313	346	757
314	347	755
315	348	753
316	348	751
317	349	749
318	350	747
319	350	745
320	351	743
321	352	741
322	352	739
323	353	737
324	353	735
325	354	733
326	355	731
327	355	728
328	356	726
329	357	725
330	357	723
331	358	721
332	359	719
333	359	717
334	360	715
335	361	713
336	361	711
337	362	709
338	363	708
339	364	707
340	364	705
341	365	703
342	366	701
343	366	699
344	367	698
345	368	696
346	368	694
347	369	693
348	370	691
349	371	689
350	372	687
351	372	686
352	373	684
353	374	682
354	374	680
355	375	679
356	376	677
357	376	675
358	377	674
359	378	672
360	378	670
361	379	668
362	380	667
363	380	665
364	381	663
365	382	662
366	382	660
367	383	658
368	384	657
369	384	655
370	385	653
371	386	652
372	387	650
373	387	649
374	388	647
375	389	646
376	390	644
377	390	643
378	391	641
379	392	640
380	392	638
381	393	636
382	394	635
383	395	633
384	395	632
385	396	630
386	397	628
387	397	627
388	398	625
389	398	623
390	399	622
391	400	620
392	400	619
393	401	617
394	402	616
395	402	614
396	403	612
397	404	611
398	404	609
399	405	607
400	405	606
401	406	605
402	407	603
403	408	602
404	408	600
405	409	598
406	410	597
407	410	595
408	411	594
409	411	592
410	412	591
411	413	590
412	414	588
413	414	587
414	415	585
415	415	583
416	416	582
417	417	581
418	417	579
419	418	578
420	419	576
421	420	575
422	420	573
423	421	572
424	421	570
425	422	569
426	423	567
427	423	566
428	424	564
429	425	563
430	425	562
431	426	560
432	427	559
433	427	557
434	428	556
435	428	554
436	429	553
437	430	551
438	430	550
439	431	549
440	432	547
441	432	546
442	433	545
443	434	543
444	434	542
445	435	540
446	435	539
447	436	537
448	437	536
449	438	535
450	438	534
451	439	532
452	439	531
453	440	529
454	441	528
455	441	527
456	442	525
457	443	524
458	443	523
459	444	521
460	445	520
461	445	519
462	446	517
463	447	516
464	447	515
465	448	513
466	448	512
467	449	511
468	450	509
469	451	508
470	451	507
471	452	505
472	452	504
473	453	503
474	454	501
475	454	500
476	455	499
477	456	498
478	456	496
479	457	495
480	458	494
481	459	493
482	459	492
483	460	490
484	461	489
485	461	488
486	462	487
487	463	485
488	463	484
489	464	483
490	465	482
491	465	480
492	466	479
493	467	478
494	467	477
495	468	475
496	469	474
497	469	473
498	470	472
499	471	471
500	471	469
501	472	468
502	473	467
503	473	466
504	474	465
505	475	463
506	475	462
507	476	461
508	477	460
509	477	459
510	478	457
511	478	456
512	479	455
513	480	454
514	481	453
515	481	451
516	482	450
517	483	449
518	483	448
519	484	447
520	484	445
521	485	444
522	486	443
523	486	442
524	487	441
525	488	440
526	488	438
527	489	437
528	490	436
529	490	435
530	491	434
531	492	433
532	493	431
533	493	430
534	494	429
535	495	428
536	495	427
537	496	426
538	497	425
539	497	423
540	498	422
541	499	421
542	499	420
543	500	419
544	501	418
545	501	417
546	502	416
547	503	415
548	504	414
549	505	413
550	506	412
551	507	411
552	508	410
553	509	409
554	509	408
555	510	407
556	511	406
557	512	405
558	512	404
559	513	403
560	514	402
561	515	401
562	515	400
563	516	399
564	517	398
565	517	397
566	518	396
567	519	394
568	520	393
569	520	392
570	521	391
571	522	390
572	522	389
573	523	388
574	524	387
575	525	386
576	525	385
577	526	384
578	526	383
579	527	382
580	528	380
581	528	379
582	529	378
583	530	377
584	531	376
585	531	375
586	532	374
587	532	373
588	533	372
589	534	371
590	534	370
591	535	368
592	536	367
593	536	366
594	537	365
595	538	364
596	538	363
597	539	362
598	540	361
599	540	360
600	541	359
601	541	358
602	542	357
603	543	356
604	543	355
605	544	354
606	545	353
607	545	351
608	546	350
609	547	349
610	547	348
611	548	347
612	549	346
613	550	345
614	550	344
615	551	343
616	551	342
617	552	341
618	553	340
619	553	339
620	554	338
621	555	337
622	555	336
623	556	335
624	557	334
625	557	333
626	558	332
627	559	331
628	559	330
629	560	329
630	561	328
631	561	327
632	562	326
633	563	325
634	563	324
635	564	323
636	564	321
637	565	320
638	566	319
639	567	318
640	567	317
641	568	316
642	569	315
643	569	314
644	570	313
645	570	312
646	571	311
647	572	310
648	573	310
649	573	309
650	574	308
651	575	307
652	575	306
653	576	305
654	577	304
655	577	303
656	578	302
657	579	301
658	579	300
659	580	299
660	581	298
661	581	297
662	582	296
663	582	295
664	583	293
665	584	292
666	585	292
667	585	291
668	586	290
669	586	289
670	587	288
671	588	287
672	588	286
673	589	285
674	590	284
675	590	283
676	591	282
677	592	281
678	592	280
679	593	279
680	594	278
681	594	277
682	595	276
683	595	275
684	596	274
685	597	273
686	597	272
687	598	271
688	599	270
689	599	269
690	600	268
691	601	267
692	601	266
693	602	265
694	603	264
695	603	263
696	604	262
697	605	261
698	605	260
699	606	259
700	607	258
701	607	257
702	608	256
703	608	256
704	609	255
705	610	254
706	611	253
707	611	252
708	612	251
709	612	250
710	613	249
711	614	248
712	614	247
713	615	246
714	616	245
715	616	244
716	617	243
717	618	242
718	618	241
719	619	240
720	620	239
721	620	239
722	621	238
723	622	237
724	622	236
725	623	235
726	624	234
727	624	233
728	625	232
729	625	231
730	626	230
731	627	229
732	627	228
733	628	227
734	629	226
735	629	225
736	630	224
737	631	224
738	631	223
739	632	222
740	633	221
741	633	220
742	634	219
743	635	218
744	635	217
745	636	216
746	636	215
747	637	214
748	638	213
749	638	212
750	639	212
751	640	211
752	640	210
753	641	209
754	642	208
755	642	207
756	643	206
757	644	205
758	644	204
759	645	203
760	646	202
761	646	202
762	647	201
763	648	200
764	648	199
765	649	198
766	649	197
767	650	196
768	651	195
769	651	194
770	652	193
771	653	192
772	653	192
773	654	191
774	655	190
775	655	189
776	656	188
777	656	187
778	657	186
779	658	185
780	659	184
781	659	183
782	660	183
783	661	182
784	661	181
785	662	180
786	662	179
787	663	178
788	664	177
789	664	176
790	665	175
791	666	174
792	666	174
793	667	173
794	668	172
795	668	171
796	669	170
797	670	169
798	670	168
799	671	167
800	672	167
801	673	166
802	673	165
803	674	164
804	675	163
805	675	162
806	676	161
807	676	160
808	677	159
809	678	159
810	679	158
811	679	157
812	680	156
813	680	155
814	681	154
815	682	153
816	682	152
817	683	152
818	684	151
819	685	150
820	685	149
821	686	148
822	686	147
823	687	146
824	689	146
825	690	145
826	691	144
827	691	143
828	692	142
829	693	141
830	693	141
831	694	140
832	694	139
833	695	138
834	696	137
835	697	136
836	698	135
837	698	135
838	699	134
839	699	133
840	700	132
841	701	131
842	702	130
843	702	129
844	703	129
845	704	128
846	705	127
847	705	126
848	706	125
849	706	124
850	707	123
851	708	123
852	709	122
853	709	121
854	710	120
855	711	119
856	712	118
857	712	117
858	713	117
859	714	116
860	714	115
861	715	114
862	716	113
863	716	112
864	717	111
865	718	111
866	718	110
867	719	109
868	719	108
869	720	107
870	721	106
871	722	105
872	722	105
873	723	104
874	724	103
875	724	102
876	725	101
877	726	100
878	726	100
879	727	99
880	728	98
881	729	97
882	729	96
883	730	95
884	731	94
885	731	94
886	732	93
887	733	92
888	733	91
889	734	90
890	735	89
891	735	89
892	736	88
893	737	87
894	737	86
895	738	85
896	739	84
897	740	84
898	741	83
899	741	82
900	742	81
901	743	80
902	743	79
903	744	79
904	745	78
905	746	77
906	747	76
907	747	75
908	748	74
909	749	74
910	749	73
911	750	72
912	751	71
913	752	70
914	753	69
915	753	69
916	754	68
917	755	67
918	755	66
919	756	65
920	757	64
921	758	64
922	759	63
923	759	62
924	760	61
925	761	60
926	761	59
927	762	59
928	763	58
929	764	57
930	764	56
931	765	55
932	766	55
933	767	54
934	767	53
935	768	52
936	769	51
937	770	50
938	770	50
939	771	49
940	772	48
941	773	47
942	773	46
943	774	45
944	775	45
945	775	44
946	776	43
947	777	42
948	778	41
949	778	40
950	779	40
951	780	39
952	780	38
953	781	37
954	782	36
955	783	36
956	783	35
957	784	34
958	785	33
959	785	32
960	786	31
961	787	31
962	788	30
963	788	29
964	789	28
965	790	27
966	790	26
967	791	26
968	792	25
969	793	24
970	794	23
971	795	22
972	795	22
973	796	21
974	797	20
975	797	19
976	798	18
977	799	17
978	799	17
979	800	16
980	801	15
981	801	14
982	802	13
983	803	13
984	803	12
985	804	11
986	805	10
987	806	9
988	806	8
989	807	8
990	808	7
991	809	6
992	809	5
993	810	4
994	811	4
995	811	3
996	812	2
997	813	1
998	814	0
999	814	0
